unitid,institutionname,fein,newfein
203544,Kettering College,310621866,310621866
169983,Kettering University,382410852,382410852
192192,Keuka College,160743063,160743063
213303,Keystone College,240795441,240795441
220516,King University,581363100,581363100
213321,King's College,240804602,240804602
146427,Knox College,370673513,370673513
171881,Kuyper College,381368367,381368367
213358,La Roche College,251125048,251125048
213367,La Salle University,231352654,231352654
117627,La Sierra University,330413730,330413730
165264,Laboure College,42134818,42134818
213385,Lafayette College,240795686,240795686
140234,LaGrange College,580566199,580566199
117168,Laguna College of Art and Design,952415066,952415066
203580,Lake Erie College,340733165,340733165
146481,Lake Forest College,362167770,362167770
238980,Lakeland College,390821861,390821861
146533,Lakeview College of Nursing,370692975,370692975
213400,Lancaster Bible College,231484178,231484178
247649,Landmark College,222586208,222586208
220598,Lane College,620570060,620570060
166391,Lasell College,42103585,42103585
198747,Laurel University,560650621,560650621
170675,Lawrence Technological University,381369604,381369604
239017,Lawrence University,390806297,390806297
192323,Le Moyne College,150545841,150545841
220604,Le Moyne-Owen College,620475690,620475690
213507,Lebanon Valley College,231352354,231352354
220613,Lee University,620502739,620502739
198808,Lees-McRae College,560529953,560529953
213543,Lehigh University,240795445,240795445
198835,Lenoir-Rhyne University,560556753,560556753
166452,Lesley University,42103589,42103589
226231,LeTourneau University,751081109,751081109
209056,Lewis & Clark College,930386858,930386858
146612,Lewis University,362167773,362167773
232557,Liberty University,540946734,540946734
117104,Life Pacific College,951684068,951684068
140252,Life University,581216007,581216007
218238,Limestone College,570314402,570314402
146667,Lincoln Christian University,370711798,370711798
146676,Lincoln College,370661227,370661227
220631,Lincoln Memorial University,620479542,620479542
117557,Lincoln University,941347042,941347042
177968,Lindenwood University,430652649,430652649
157216,Lindsey Wilson College,610444763,610444763
209065,Linfield College-McMinnville Campus,930391586,930391586
437325,Linfield College-Online and Continuing Education,930391586,930391586
437316,Linfield College-School of Nursing,930391586,930391586
219976,Lipscomb University,620485733,620485733
192563,LIU Brentwood,111633516,111633516
192439,LIU Brooklyn,111633516,111633516
192448,LIU Post,111633516,111633516
450766,LIU Riverhead,111633516,111633516
198862,Livingstone College,560603922,560603922
177986,Logan University,430746185,430746185
117636,Loma Linda University,931221825,931221825
153825,Loras College,420680412,420680412
159568,Louisiana College,720467515,720467515
203757,Lourdes University,341226547,341226547
117946,Loyola Marymount University,951643334,951643334
146719,Loyola University Chicago,361408475,361408475
163046,Loyola University Maryland,520591623,520591623
159656,Loyola University New Orleans,720408946,720408946
226383,Lubbock Christian University,750950119,750950119
153834,Luther College,420680466,420680466
135364,Luther Rice University & Seminary,591197022,591197022
213668,Lycoming College,240795965,240795965
129686,Lyme Academy College of Fine Arts,60942210,60942210
232609,Lynchburg College,540505922,540505922
132657,Lynn University,591023117,591023117
106342,Lyon College,710246213,710246213
173902,Macalester College,410693962,410693962
192624,Machzikei Hadath Rabbinical College,237441325,237441325
146825,MacMurray College,370661217,370661217
170806,Madonna University,381498763,381498763
153861,Maharishi University of Management,421315493,421315493
161509,Maine College of Art,10378758,10378758
203775,Malone University,340737794,340737794
151777,Manchester University,380868127,380868127
155496,Manhattan Christian College,480559090,480559090
192703,Manhattan College,131740468,131740468
192712,Manhattan School of Music,131656667,131656667
192749,Manhattanville College,131740469,131740469
480754,Manthano Christian College,452905252,452905252
446394,Maple Springs Baptist Bible College and Seminary,521501741,521501741
239071,Maranatha Baptist University,391097032,391097032
192785,Maria College of Albany,141463151,141463151
166601,Marian Court College,42325504,42325504
151786,Marian University,350868175,350868175
239080,Marian University,391024723,391024723
203845,Marietta College,314379584,314379584
192819,Marist College,141442493,141442493
230940,Marlboro College,30179593,30179593
440411,Marlboro College Graduate & Professional Studies,30179593,30179593
239105,Marquette University,390806251,390806251
198899,Mars Hill University,560554207,560554207
173452,Martin Luther College,410695520,410695520
220701,Martin Methodist College,620483210,620483210
151810,Martin University,310970262,310970262
232672,Mary Baldwin College,540506319,540506319
170842,Marygrove College,381358399,381358399
163295,Maryland Institute College of Art,520591661,520591661
209108,Marylhurst University,930634049,930634049
118541,Marymount California University,952113260,952113260
192864,Marymount Manhattan College,131628206,131628206
232706,Marymount University,540573801,540573801
220710,Maryville College,620475691,620475691
178059,Maryville University of Saint Louis,430653369,430653369
213826,Marywood University,240795453,240795453
166683,Massachusetts Institute of Technology,42103594,42103594
164270,McDaniel College,520591694,520591694
147013,McKendree University,370661219,370661219
226587,McMurry University,750855633,750855633
155511,McPherson College,480543736,480543736
166656,MCPHS University,42104700,42104700
192925,Medaille College,160805158,160805158
220808,Memphis College of Art,620544854,620544854
118693,Menlo College,943204136,943204136
140447,Mercer University,580566167,580566167
193016,Mercy College,131967321,131967321
153977,Mercy College of Health Sciences,421511682,421511682
203960,Mercy College of Ohio,341726619,341726619
213987,Mercyhurst University,250965430,250965430
198950,Meredith College,560530242,560530242
166850,Merrimack College,42013731,42013731
461847,Mesivta Keser Torah,222892708,222892708
193061,Mesivta of Eastern Parkway-Yeshiva Zichron Meilech,112620793,112620793
